fecha;stock;unidad;valor
2016-01-29;etanol;[m3];312,74
2016-01-30;maiz;[ton];9844,02
2016-01-30;etanol;[m3];346,44
2016-01-31;maiz;[ton];9256,02
2016-01-31;etanol;[m3];329,17
2016-02-01;maiz;[ton];8675,52
2016-02-01;etanol;[m3];344,37
2016-02-02;maiz;[ton];8830,0
2016-02-02;etanol;[m3];276,83
2016-02-03;maiz;[ton];9390,0
2016-02-03;etanol;[m3];203,49
2016-02-04;maiz;[ton];9930,0
2016-02-04;etanol;[m3];264,48
2016-02-05;maiz;[ton];10561,0
2016-02-05;etanol;[m3];217,2
2016-02-06;maiz;[ton];11037,6
2016-02-06;etanol;[m3];165,11
2016-02-07;maiz;[ton];10365,6
2016-02-07;etanol;[m3];236,9562
2016-02-08;maiz;[ton];9693,6
2016-02-08;etanol;[m3];363,08
2016-02-09;maiz;[ton];9021,6
2016-02-09;etanol;[m3];195,75
2016-02-10;maiz;[ton];8488,0
2016-02-10;etanol;[m3];193,54
2016-02-11;maiz;[ton];8284,24
2016-02-11;etanol;[m3];212,0
2016-02-12;maiz;[ton];8985,44
2016-02-12;etanol;[m3];102,33
2016-02-13;maiz;[ton];9155,44
2016-02-13;etanol;[m3];211,97
2016-02-14;maiz;[ton];9307,38
2016-02-14;etanol;[m3];494,54
2016-02-15;maiz;[ton];8650,0
2016-02-15;etanol;[m3];730,18
2016-02-16;maiz;[ton];7990,0
2016-02-16;etanol;[m3];718,25
2016-02-17;maiz;[ton];8246,0
2016-02-17;etanol;[m3];682,84
2016-02-18;maiz;[ton];8340,0
2016-02-18;etanol;[m3];619,904
2016-02-19;maiz;[ton];8540,0
2016-02-19;etanol;[m3];613,58
2016-02-20;maiz;[ton];8748,74
2016-02-20;etanol;[m3];546,82
2016-02-21;maiz;[ton];8076,74
2016-02-21;etanol;[m3];587,79
2016-02-22;maiz;[ton];7518,0
2016-02-22;etanol;[m3];599,88
2016-02-23;maiz;[ton];7231,0
2016-02-23;etanol;[m3];641,88
2016-02-24;maiz;[ton];7413,0
2016-02-24;etanol;[m3];531,64
2016-02-25;maiz;[ton];7503,0
2016-02-25;etanol;[m3];357,39
2016-02-26;maiz;[ton];7813,0
2016-02-26;etanol;[m3];430,93
2016-02-27;maiz;[ton];7999,96
2016-02-27;etanol;[m3];434,43
2016-02-28;maiz;[ton];7327,96
2016-02-28;etanol;[m3];330,73
2016-02-29;maiz;[ton];6748,0
2016-02-29;etanol;[m3];182,95
2016-03-01;maiz;[ton];6858,0
2016-03-01;etanol;[m3];239,37
2016-03-02;maiz;[ton];7367,0
2016-03-02;etanol;[m3];223,15
2016-03-03;maiz;[ton];7466,0
2016-03-03;etanol;[m3];222,21
2016-03-04;maiz;[ton];8085,0
2016-03-04;etanol;[m3];197,08
2016-03-05;maiz;[ton];8607,0
2016-03-05;etanol;[m3];217,43
2016-03-06;maiz;[ton];7920,0
2016-03-06;etanol;[m3];136,2
2016-03-07;maiz;[ton];7233,0
2016-03-07;etanol;[m3];197,15
2016-03-08;maiz;[ton];7865,0
2016-03-08;etanol;[m3];169,36
2016-03-09;maiz;[ton];8065,0
2016-03-09;etanol;[m3];180,15
2016-03-10;maiz;[ton];7942,0
2016-03-10;etanol;[m3];196,37
2016-03-11;maiz;[ton];8255,0
2016-03-11;etanol;[m3];245,14
2016-03-12;maiz;[ton];8377,56
2016-03-12;etanol;[m3];395,91
2016-03-13;maiz;[ton];7731,96
2016-03-13;etanol;[m3];218,31
2016-03-14;maiz;[ton];7071,96
2016-03-14;etanol;[m3];301,04
2016-03-15;maiz;[ton];7600,2
2016-03-15;etanol;[m3];319,89
2016-03-16;maiz;[ton];8236,24
2016-03-16;etanol;[m3];323,9
2016-03-17;maiz;[ton];8770,2
2016-03-17;etanol;[m3];270,8
2016-03-18;maiz;[ton];9326,2
2016-03-18;etanol;[m3];276,63
2016-03-19;maiz;[ton];9800,2
2016-03-19;etanol;[m3];422,46
2016-03-20;maiz;[ton];10224,3
2016-03-20;etanol;[m3];495,97
2016-03-21;maiz;[ton];9543,2
2016-03-21;etanol;[m3];601,03
2016-03-22;maiz;[ton];9765,2
2016-03-22;etanol;[m3];523,78
2016-03-23;maiz;[ton];10526,0
2016-03-23;etanol;[m3];460,22
2016-03-24;maiz;[ton];11096,38
2016-03-24;etanol;[m3];364,22
2016-03-25;maiz;[ton];11601,66
2016-03-25;etanol;[m3];335,52
2016-03-26;maiz;[ton];10934,46
2016-03-26;etanol;[m3];264,44
2016-03-27;maiz;[ton];10566,54
2016-03-27;etanol;[m3];125,08
2016-03-28;maiz;[ton];9883,18
2016-03-28;etanol;[m3];183,24
2016-03-29;maiz;[ton];10420,18
2016-03-29;etanol;[m3];222,08
2016-03-30;maiz;[ton];10545,18
2016-03-30;etanol;[m3];179,3
2016-03-31;maiz;[ton];10983,18
2016-03-31;etanol;[m3];143,21
2016-04-01;maiz;[ton];11503,18
2016-04-01;etanol;[m3];289,23
2016-04-02;maiz;[ton];11719,78
2016-04-02;etanol;[m3];368,16
2016-04-03;maiz;[ton];11047,78
2016-04-03;etanol;[m3];193,18
2016-04-04;maiz;[ton];10353,18
2016-04-04;etanol;[m3];174,79
2016-04-05;maiz;[ton];10423,18
2016-04-05;etanol;[m3];172,5
2016-04-06;maiz;[ton];10558,18
2016-04-06;etanol;[m3];212,25
2016-04-07;maiz;[ton];10503,18
2016-04-07;etanol;[m3];192,0
2016-04-08;maiz;[ton];11089,62
2016-04-08;etanol;[m3];85,5
2016-04-09;maiz;[ton];11195,42
2016-04-09;etanol;[m3];106,7
2016-04-10;maiz;[ton];10757,42
2016-04-10;etanol;[m3];236,72
2016-04-11;maiz;[ton];10082,24
2016-04-11;etanol;[m3];334,48
2016-04-12;maiz;[ton];9649,98
2016-04-12;etanol;[m3];270,96
2016-04-13;maiz;[ton];9419,48
2016-04-13;etanol;[m3];303,69
2016-04-14;maiz;[ton];9349,48
2016-04-14;etanol;[m3];239,92
2016-04-15;maiz;[ton];9452,48
2016-04-15;etanol;[m3];246,34
2016-04-16;maiz;[ton];9533,5
2016-04-16;etanol;[m3];230,87
2016-04-17;maiz;[ton];8379,0
2016-04-17;etanol;[m3];388,34
2016-04-18;maiz;[ton];8379,0
2016-04-18;etanol;[m3];388,34
2016-04-19;maiz;[ton];8120,0
2016-04-19;etanol;[m3];338,31
2016-04-20;maiz;[ton];7976,0
2016-04-20;etanol;[m3];385,98
2016-04-21;maiz;[ton];8013,18
2016-04-21;etanol;[m3];354,29
2016-04-22;maiz;[ton];7902,14
2016-04-22;etanol;[m3];326,82
2016-04-23;maiz;[ton];7813,76
2016-04-23;etanol;[m3];401,66
2016-04-24;maiz;[ton];7141,76
2016-04-24;etanol;[m3];431,49
2016-04-25;maiz;[ton];6455,0
2016-04-25;etanol;[m3];536,2
2016-04-26;maiz;[ton];5972,16
2016-04-26;etanol;[m3];360,49
2016-04-27;maiz;[ton];5515,74
2016-04-27;etanol;[m3];400,892
2016-04-28;maiz;[ton];5235,0
2016-04-28;etanol;[m3];435,12
2016-04-29;maiz;[ton];5330,0
2016-04-29;etanol;[m3];226,91
2016-04-30;maiz;[ton];5300,0
2016-04-30;etanol;[m3];375,74
2016-05-01;maiz;[ton];5445,02
2016-05-01;etanol;[m3];549,41
2016-05-02;maiz;[ton];4702,0
2016-05-02;etanol;[m3];573,65
2016-05-03;maiz;[ton];4457,0
2016-05-03;etanol;[m3];344,98
2016-05-04;maiz;[ton];4281,0
2016-05-04;etanol;[m3];388,63
2016-05-05;maiz;[ton];3981,0
2016-05-05;etanol;[m3];427,13
2016-05-06;maiz;[ton];3931,0
2016-05-06;etanol;[m3];483,3
2016-05-07;maiz;[ton];4491,0
2016-05-07;etanol;[m3];449,2
2016-05-08;maiz;[ton];5190,64
2016-05-08;etanol;[m3];446,41
2016-05-09;maiz;[ton];5511,0
2016-05-09;etanol;[m3];471,35
2016-05-10;maiz;[ton];5476,0
2016-05-10;etanol;[m3];292,41
2016-05-11;maiz;[ton];5560,0
2016-05-11;etanol;[m3];144,62
2016-05-12;maiz;[ton];6238,82
2016-05-12;etanol;[m3];103,73
2016-05-13;maiz;[ton];5972,48
2016-05-13;etanol;[m3];217,8
2016-05-14;maiz;[ton];6021,02
2016-05-14;etanol;[m3];371,16
2016-05-15;maiz;[ton];5347,82
2016-05-15;etanol;[m3];439,31
2016-05-16;maiz;[ton];4793,46
2016-05-16;etanol;[m3];508,82
2016-05-17;maiz;[ton];4530,0
2016-05-17;etanol;[m3];566,41
2016-05-18;maiz;[ton];4141,52
2016-05-18;etanol;[m3];589,93
2016-05-19;maiz;[ton];4140,0
2016-05-19;etanol;[m3];461,69
2016-05-20;maiz;[ton];4267,0
2016-05-20;etanol;[m3];457,88
2016-05-21;maiz;[ton];4220,0
2016-05-21;etanol;[m3];423,8
2016-05-22;maiz;[ton];4183,0
2016-05-22;etanol;[m3];649,73
2016-05-23;maiz;[ton];3260,0
2016-05-23;etanol;[m3];726,03
2016-05-24;maiz;[ton];3248,0
2016-05-24;etanol;[m3];476,98
2016-05-25;maiz;[ton];3245,0
2016-05-25;etanol;[m3];482,34
2016-05-26;maiz;[ton];2880,0
2016-05-26;etanol;[m3];523,6
2016-05-27;maiz;[ton];2660,0
2016-05-27;etanol;[m3];566,2
2016-05-28;maiz;[ton];2910,0
2016-05-28;etanol;[m3];528,16
2016-05-29;maiz;[ton];3120,58
2016-05-29;etanol;[m3];620,28
2016-05-30;maiz;[ton];2435,0
2016-05-30;etanol;[m3];544,1874
2016-05-31;maiz;[ton];2490,0
2016-05-31;etanol;[m3];335,47
2016-06-01;maiz;[ton];2205,0
2016-06-01;etanol;[m3];404,27
2016-06-02;maiz;[ton];1980,0
2016-06-02;etanol;[m3];420,59276
2016-06-03;maiz;[ton];2240,0
2016-06-03;etanol;[m3];451,15944
2016-06-04;maiz;[ton];2668,28
2016-06-04;etanol;[m3];412,7
2016-06-05;maiz;[ton];2128,28
2016-06-05;etanol;[m3];492,17
2016-06-06;maiz;[ton];1530,0
2016-06-06;etanol;[m3];556,55
2016-06-07;maiz;[ton];945,0
2016-06-07;etanol;[m3];661,51
2016-06-08;maiz;[ton];1365,0
2016-06-08;etanol;[m3];764,82
2016-06-09;maiz;[ton];1527,0
2016-06-09;etanol;[m3];803,9
2016-06-10;maiz;[ton];1400,0
2016-06-10;etanol;[m3];858,4
2016-06-11;maiz;[ton];2145,0
2016-06-11;etanol;[m3];1014,59
2016-06-12;maiz;[ton];3190,0
2016-06-12;etanol;[m3];1129,74
2016-06-13;maiz;[ton];3725,0
2016-06-13;etanol;[m3];1091,95
2016-06-14;maiz;[ton];4315,0
2016-06-14;etanol;[m3];975,03
2016-06-15;maiz;[ton];4600,0
2016-06-15;etanol;[m3];689,66
2016-06-16;maiz;[ton];5060,0
2016-06-16;etanol;[m3];406,64
2016-06-17;maiz;[ton];5550,0
2016-06-17;etanol;[m3];397,06
2016-06-18;maiz;[ton];5505,08
2016-06-18;etanol;[m3];279,34
2016-06-19;maiz;[ton];4833,08
2016-06-19;etanol;[m3];278,71
2016-06-20;maiz;[ton];4161,08
2016-06-20;etanol;[m3];224,45
2016-06-21;maiz;[ton];3400,0
2016-06-21;etanol;[m3];208,77
2016-06-22;maiz;[ton];3860,0
2016-06-22;etanol;[m3];250,16
2016-06-23;maiz;[ton];4350,0
2016-06-23;etanol;[m3];250,91
2016-06-24;maiz;[ton];5085,0
2016-06-24;etanol;[m3];317,1
2016-06-25;maiz;[ton];5643,26
2016-06-25;etanol;[m3];381,41
2016-06-26;maiz;[ton];5020,46
2016-06-26;etanol;[m3];365,81
2016-06-27;maiz;[ton];4570,0
2016-06-27;etanol;[m3];225,45
2016-06-28;maiz;[ton];4780,0
2016-06-28;etanol;[m3];278,13
2016-06-29;maiz;[ton];4230,0
2016-06-29;etanol;[m3];401,74
2016-06-30;maiz;[ton];4070,0
2016-06-30;etanol;[m3];555,37
2016-07-01;maiz;[ton];4355,0
2016-07-01;etanol;[m3];751,68
2016-07-02;maiz;[ton];4570,0
2016-07-02;etanol;[m3];908,04
2016-07-03;maiz;[ton];4451,12
2016-07-03;etanol;[m3];916,01
2016-07-04;maiz;[ton];3730,0
2016-07-04;etanol;[m3];991,98
2016-07-05;maiz;[ton];3745,0
2016-07-05;etanol;[m3];876,96
2016-07-06;maiz;[ton];3865,0
2016-07-06;etanol;[m3];822,06
2016-07-07;maiz;[ton];4055,0
2016-07-07;etanol;[m3];794,76
2016-07-08;maiz;[ton];4685,0
2016-07-08;etanol;[m3];845,53
2016-07-09;maiz;[ton];5121,34
2016-07-09;etanol;[m3];781,08
2016-07-10;maiz;[ton];4449,34
2016-07-10;etanol;[m3];782,67
2016-07-11;maiz;[ton];3775,0
2016-07-11;etanol;[m3];934,14
2016-07-12;maiz;[ton];4355,0
2016-07-12;etanol;[m3];837,24
2016-07-13;maiz;[ton];4880,0
2016-07-13;etanol;[m3];897,09
2016-07-14;maiz;[ton];5355,0
2016-07-14;etanol;[m3];870,89
2016-07-15;maiz;[ton];5895,0
2016-07-15;etanol;[m3];889,94
2016-07-16;maiz;[ton];6529,48
2016-07-16;etanol;[m3];827,19
2016-07-17;maiz;[ton];5905,48
2016-07-17;etanol;[m3];914,63
2016-07-18;maiz;[ton];5265,0
2016-07-18;etanol;[m3];809,21
2016-07-19;maiz;[ton];5630,0
2016-07-19;etanol;[m3];789,72
2016-07-20;maiz;[ton];6085,0
2016-07-20;etanol;[m3];822,31
2016-07-21;maiz;[ton];6495,0
2016-07-21;etanol;[m3];666,37
2016-07-22;maiz;[ton];6005,0
2016-07-22;etanol;[m3];635,32
2016-07-23;maiz;[ton];5550,08
2016-07-23;etanol;[m3];769,4
2016-07-24;maiz;[ton];5373,92
2016-07-24;etanol;[m3];746,67
2016-07-25;maiz;[ton];4805,0
2016-07-25;etanol;[m3];555,77
2016-07-26;maiz;[ton];5185,0
2016-07-26;etanol;[m3];571,89
2016-07-27;maiz;[ton];4905,0
2016-07-27;etanol;[m3];331,24
2016-07-28;maiz;[ton];4575,0
2016-07-28;etanol;[m3];550,01
2016-07-29;maiz;[ton];5095,0
2016-07-29;etanol;[m3];776,21
2016-07-30;maiz;[ton];5780,28
2016-07-30;etanol;[m3];1007,08
2016-07-31;maiz;[ton];5216,28
2016-07-31;etanol;[m3];1212,7
2016-08-01;maiz;[ton];4675,0
2016-08-01;etanol;[m3];1279,63
2016-08-02;maiz;[ton];4965,0
2016-08-02;etanol;[m3];1353,54
2016-08-03;maiz;[ton];5255,0
2016-08-03;etanol;[m3];1226,33
2016-08-04;maiz;[ton];5525,0
2016-08-04;etanol;[m3];1272,79
2016-08-05;maiz;[ton];6020,0
2016-08-05;etanol;[m3];1173,01
2016-08-06;maiz;[ton];6447,84
2016-08-06;etanol;[m3];1159,33
2016-08-07;maiz;[ton];5883,84
2016-08-07;etanol;[m3];1169,81
2016-08-08;maiz;[ton];5223,0
2016-08-08;etanol;[m3];1082,69
2016-08-09;maiz;[ton];5865,0
2016-08-09;etanol;[m3];972,33
2016-08-10;maiz;[ton];6102,0
2016-08-10;etanol;[m3];989,87
2016-08-11;maiz;[ton];6265,0
2016-08-11;etanol;[m3];780,13
2016-08-12;maiz;[ton];6415,0
2016-08-12;etanol;[m3];781,0684
2016-08-13;maiz;[ton];6723,02
2016-08-13;etanol;[m3];659,04
2016-08-14;maiz;[ton];6075,02
2016-08-14;etanol;[m3];498,86
2016-08-15;maiz;[ton];5427,02
2016-08-15;etanol;[m3];296,25
2016-08-16;maiz;[ton];4695,0
2016-08-16;etanol;[m3];249,61
2016-08-17;maiz;[ton];5145,0
2016-08-17;etanol;[m3];273,31
2016-08-18;maiz;[ton];5465,0
2016-08-18;etanol;[m3];284,65
2016-08-19;maiz;[ton];5655,0
2016-08-19;etanol;[m3];221,66
2016-08-20;maiz;[ton];5946,72
2016-08-20;etanol;[m3];228,81
2016-08-21;maiz;[ton];5339,52
2016-08-21;etanol;[m3];348,17
2016-08-22;maiz;[ton];4680,0
2016-08-22;etanol;[m3];386,54
2016-08-23;maiz;[ton];5020,0
2016-08-23;etanol;[m3];386,0116
2016-08-24;maiz;[ton];5190,0
2016-08-24;etanol;[m3];420,38
2016-08-25;maiz;[ton];5320,0
2016-08-25;etanol;[m3];500,9
2016-08-26;maiz;[ton];5485,0
2016-08-26;etanol;[m3];456,63
2016-08-27;maiz;[ton];5508,56
2016-08-27;etanol;[m3];487,89
2016-08-28;maiz;[ton];4860,56
2016-08-28;etanol;[m3];593,19
2016-08-29;maiz;[ton];4225,0
2016-08-29;etanol;[m3];815,67
2016-08-30;maiz;[ton];4500,0
2016-08-30;etanol;[m3];953,06
2016-08-31;maiz;[ton];4830,0
2016-08-31;etanol;[m3];1190,69
2016-09-01;maiz;[ton];5030,0
2016-09-01;etanol;[m3];1003,52
2016-09-02;maiz;[ton];5490,0
2016-09-02;etanol;[m3];1061,5
2016-09-03;maiz;[ton];5646,34
2016-09-03;etanol;[m3];875,48
2016-09-04;maiz;[ton];4998,34
2016-09-04;etanol;[m3];802,23
2016-09-05;maiz;[ton];4250,0
2016-09-05;etanol;[m3];783,62
2016-09-06;maiz;[ton];4170,0
2016-09-06;etanol;[m3];718,01
2016-09-07;maiz;[ton];4230,0
2016-09-07;etanol;[m3];872,73
2016-09-08;maiz;[ton];4550,0
2016-09-08;etanol;[m3];828,05
2016-09-09;maiz;[ton];4830,0
2016-09-09;etanol;[m3];942,43
2016-09-10;maiz;[ton];5115,8
2016-09-10;etanol;[m3];864,62
2016-09-11;maiz;[ton];4467,8
2016-09-11;etanol;[m3];793,19
2016-09-12;maiz;[ton];3740,0
2016-09-12;etanol;[m3];856,82
2016-09-13;maiz;[ton];3360,0
2016-09-13;etanol;[m3];742,43
2016-09-14;maiz;[ton];3532,0
2016-09-14;etanol;[m3];669,85
2016-09-15;maiz;[ton];3970,0
2016-09-15;etanol;[m3];681,51
2016-09-16;maiz;[ton];4354,0
2016-09-16;etanol;[m3];752,5
2016-09-17;maiz;[ton];4921,56
2016-09-17;etanol;[m3];649,32
2016-09-18;maiz;[ton];4273,56
2016-09-18;etanol;[m3];468,05
2016-09-19;maiz;[ton];3560,0
2016-09-19;etanol;[m3];279,58
2016-09-20;maiz;[ton];3871,98
2016-09-20;etanol;[m3];267,58
2016-09-21;maiz;[ton];4431,58
2016-09-21;etanol;[m3];262,76
2016-09-22;maiz;[ton];4640,0
2016-09-22;etanol;[m3];222,85
2016-09-23;maiz;[ton];5004,0
2016-09-23;etanol;[m3];190,67
2016-09-24;maiz;[ton];5296,74
2016-09-24;etanol;[m3];184,72
2016-09-25;maiz;[ton];4648,74
2016-09-25;etanol;[m3];223,59
2016-09-26;maiz;[ton];3973,0
2016-09-26;etanol;[m3];173,06
2016-09-27;maiz;[ton];4220,0
2016-09-27;etanol;[m3];402,43
2016-09-28;maiz;[ton];4570,0
2016-09-28;etanol;[m3];664,51
2016-09-29;maiz;[ton];4870,0
2016-09-29;etanol;[m3];922,04
2016-09-30;maiz;[ton];5180,0
2016-09-30;etanol;[m3];1072,32
2016-10-01;maiz;[ton];5305,14
2016-10-01;etanol;[m3];1293,12
2016-10-02;maiz;[ton];4657,14
2016-10-02;etanol;[m3];1406,32
2016-10-03;maiz;[ton];4009,14
2016-10-03;etanol;[m3];1231,99
2016-10-04;maiz;[ton];3960,0
2016-10-04;etanol;[m3];1372,4
2016-10-05;maiz;[ton];4310,0
2016-10-05;etanol;[m3];1292,96
2016-10-06;maiz;[ton];3835,0
2016-10-06;etanol;[m3];1286,87
2016-10-07;maiz;[ton];3635,0
2016-10-07;etanol;[m3];847,17
2016-10-08;maiz;[ton];3897,14
2016-10-08;etanol;[m3];654,09
2016-10-09;maiz;[ton];3226,34
2016-10-09;etanol;[m3];718,84
2016-10-10;maiz;[ton];2554,34
2016-10-10;etanol;[m3];587,05
2016-10-11;maiz;[ton];1850,0
2016-10-11;etanol;[m3];281,0
2016-10-12;maiz;[ton];1860,0
2016-10-12;etanol;[m3];244,08
2016-10-13;maiz;[ton];2030,0
2016-10-13;etanol;[m3];218,89
2016-10-14;maiz;[ton];2525,0
2016-10-14;etanol;[m3];277,5
2016-10-15;maiz;[ton];3070,0
2016-10-15;etanol;[m3];200,37
2016-10-16;maiz;[ton];3330,82
2016-10-16;etanol;[m3];387,13
2016-10-17;maiz;[ton];2760,0
2016-10-17;etanol;[m3];239,87
2016-10-18;maiz;[ton];2344,88
2016-10-18;etanol;[m3];218,3
2016-10-19;maiz;[ton];2530,32
2016-10-19;etanol;[m3];302,73
2016-10-20;maiz;[ton];2552,68
2016-10-20;etanol;[m3];335,72
2016-10-21;maiz;[ton];2086,1
2016-10-21;etanol;[m3];283,59
2016-10-22;maiz;[ton];1600,0
2016-10-22;etanol;[m3];231,61
2016-10-23;maiz;[ton];1650,18
2016-10-23;etanol;[m3];220,03
2016-10-24;maiz;[ton];1020,0
2016-10-24;etanol;[m3];242,71
2016-10-25;maiz;[ton];805,0
2016-10-25;etanol;[m3];244,66
2016-10-26;maiz;[ton];575,0
2016-10-26;etanol;[m3];258,42
2016-10-27;maiz;[ton];1090,0
2016-10-27;etanol;[m3];229,15
2016-10-28;maiz;[ton];2208,0
2016-10-28;etanol;[m3];215,47
2016-10-29;maiz;[ton];3079,66
2016-10-29;etanol;[m3];459,28
2016-10-30;maiz;[ton];3079,66
2016-10-30;etanol;[m3];723,25
2016-10-31;maiz;[ton];3079,66
2016-10-31;etanol;[m3];889,84
2016-11-01;maiz;[ton];4332,44
2016-11-01;etanol;[m3];889,84
2016-11-02;maiz;[ton];5191,06
2016-11-02;etanol;[m3];667,33
2016-11-03;maiz;[ton];6275,16
2016-11-03;etanol;[m3];629,403
2016-11-04;maiz;[ton];7409,32
2016-11-04;etanol;[m3];559,58
2016-11-05;maiz;[ton];7841,86
2016-11-05;etanol;[m3];485,61
2016-11-06;maiz;[ton];7247,38
2016-11-06;etanol;[m3];230,75
2016-11-07;maiz;[ton];6550,0
2016-11-07;etanol;[m3];97,9548
2016-11-08;maiz;[ton];7229,16
2016-11-08;etanol;[m3];113,77
2016-11-09;maiz;[ton];7444,2
2016-11-09;etanol;[m3];300,055
2016-11-10;maiz;[ton];7702,24
2016-11-10;etanol;[m3];409,125
2016-11-11;maiz;[ton];7921,6
2016-11-11;etanol;[m3];618,8056
2016-11-12;maiz;[ton];8364,16
2016-11-12;etanol;[m3];634,12
2016-11-13;maiz;[ton];7656,16
2016-11-13;etanol;[m3];462,97
2016-11-14;maiz;[ton];7190,98
2016-11-14;etanol;[m3];409,12
2016-11-15;maiz;[ton];7640,98
2016-11-15;etanol;[m3];551,88
2016-11-16;maiz;[ton];7860,98
2016-11-16;etanol;[m3];535,088
2016-11-17;maiz;[ton];7185,98
2016-11-17;etanol;[m3];398,18
2016-11-18;maiz;[ton];7795,98
2016-11-18;etanol;[m3];373,7
2016-11-19;maiz;[ton];7747,52
2016-11-19;etanol;[m3];195,76
2016-11-20;maiz;[ton];7075,52
2016-11-20;etanol;[m3];186,56
2016-11-21;maiz;[ton];6560,98
2016-11-21;etanol;[m3];299,92
2016-11-22;maiz;[ton];6560,98
2016-11-22;etanol;[m3];201,34
2016-11-23;maiz;[ton];6620,98
2016-11-23;etanol;[m3];250,93
2016-11-24;maiz;[ton];6455,0
2016-11-24;etanol;[m3];200,67
2016-11-25;maiz;[ton];5990,0
2016-11-25;etanol;[m3];178,35
2016-11-26;maiz;[ton];5568,3
2016-11-26;etanol;[m3];224,92
2016-11-27;maiz;[ton];4899,9
2016-11-27;etanol;[m3];212,42
2016-11-28;maiz;[ton];4227,9
2016-11-28;etanol;[m3];196,7
2016-11-29;maiz;[ton];3280,0
2016-11-29;etanol;[m3];207,41
2016-11-30;maiz;[ton];3122,5
2016-11-30;etanol;[m3];186,92
2016-12-01;maiz;[ton];3300,64
2016-12-01;etanol;[m3];175,09
2016-12-02;maiz;[ton];3985,0
2016-12-02;etanol;[m3];197,65
2016-12-03;maiz;[ton];4471,0
2016-12-03;etanol;[m3];216,17
2016-12-04;maiz;[ton];4401,22
2016-12-04;etanol;[m3];346,11
2016-12-05;maiz;[ton];3726,0
2016-12-05;etanol;[m3];256,61
2016-12-06;maiz;[ton];3696,0
2016-12-06;etanol;[m3];208,72
2016-12-07;maiz;[ton];3909,02
2016-12-07;etanol;[m3];187,37
2016-12-08;maiz;[ton];4104,02
2016-12-08;etanol;[m3];230,23
2016-12-09;maiz;[ton];3418,58
2016-12-09;etanol;[m3];388,12
2016-12-10;maiz;[ton];2734,58
2016-12-10;etanol;[m3];562,49
2016-12-11;maiz;[ton];2050,58
2016-12-11;etanol;[m3];597,5
2016-12-12;maiz;[ton];1629,02
2016-12-12;etanol;[m3];738,13
2016-12-13;maiz;[ton];1235,0
2016-12-13;etanol;[m3];970,04204
2016-12-14;maiz;[ton];1351,0
2016-12-14;etanol;[m3];953,83
2016-12-15;maiz;[ton];1911,0
2016-12-15;etanol;[m3];1010,77
2016-12-16;maiz;[ton];3121,0
2016-12-16;etanol;[m3];911,48
2016-12-17;maiz;[ton];3606,0
2016-12-17;etanol;[m3];966,76
2016-12-18;maiz;[ton];4221,0
2016-12-18;etanol;[m3];942,0
2016-12-19;maiz;[ton];4714,0
2016-12-19;etanol;[m3];851,88
2016-12-20;maiz;[ton];5190,0
2016-12-20;etanol;[m3];410,38
2016-12-21;maiz;[ton];5652,0
2016-12-21;etanol;[m3];245,98
2016-12-22;maiz;[ton];6244,76
2016-12-22;etanol;[m3];218,8
